,itemID,title,author,publisher,main topic,subtopics
0,21310,Princess Poppy: The Big Mix Up,Janey Louise Jones,Penguin Random House Children's UK,YFB,[5AH]
1,73018,Einfach zeichnen! Step by Step,Wiebke Krabbe,Schwager und Steinlein,AGZ,"[5AJ,AGZ,WFA,YBG,YBL,YNA,YPA]"
2,19194,Red Queen 1,Victoria Aveyard,Orion Publishing Group,YFH,"[5AP,FBA]"
3,40250,Meine Kindergarten-Freunde (Pirat),,Ars Edition GmbH,YB,"[5AC,5AD,YBG,YBL,YF]"
4,46107,Mein großes Schablonen-Buch - Wilde Tiere,Elizabeth Golding,Edition Michael Fischer,WFTM,"[WD,WFTM,YBG,YBL,YBLD,YBLN1]"
5,34217,Ewig geliebt,J. R. Ward,Heyne Taschenbuch,FMR,"[1KBB-US-NAK,FMX,FRX,3MRBF]"
6,31436,Meine Sticker-Tiere,,Ars Edition GmbH,YBG,"[5AD,YBG,YBLL]"
7,14576,Unsterblich 01 - Tor der Dämmerung,Julie Kagawa,Heyne Taschenbuch,YFE,"[5AQ,FM,YFE,YFH]"
8,17731,Unsterblich 02 - Tor der Nacht,Julie Kagawa,Heyne Taschenbuch,YFH,"[5AQ,FM,YFE,YFH]"
9,58723,Pedro und die Bettler von Cartagena,Ursula Hasler,dtv Verlagsgesellschaft,YFB,"[5AM,1KLSC]"
10,73124,Freundebuch - Einhorn-Paradies - Meine Freunde,,Coppenrath F,YZG,"[5JA,YBG,YBL,YFH,YZS]"
11,33976,Die Haushörerin,Anna Lummfeld,Books on Demand,FMR,"[1DFG-DE-VH,FMR,FMX,FRD]"
12,2408,Reiter der schwarzen Sonne,Swen Harder,Mantikore Verlag,FMB,"[5AN,WDHW]"
13,30277,WAS IST WAS Quiz Autos,Lorena Lehnert,Tessloff Verlag,YNV,"[5AJ,YBL]"
14,29508,WAS IST WAS Quiz Länder der Welt,Carolin Langbein,Tessloff Verlag,YNV,"[5AJ,YBL]"
15,75659,WAS IST WAS Quiz Fußball,Lorena Lehnert,Tessloff Verlag,YNWD1,"[5AJ,2ACG,SFBC,WDKX,YBL,YNVP,YZG]"
16,55699,Spring in eine Pfütze! Mein perfekter Frühling/ Mein perfekter Sommer. Wendebuch,ViktoriaSarina,CE Community Editions,YNVP,"[YBG,YBL,YNVP,YZS]"
17,62433,Und dann kamst du,Heike Abidi,Oetinger Taschenbuch GmbH,YXHL,"[5AQ,5JA,DND,YFM,YXHL]"
18,72603,"Ich hab einen Freund, der ist Astronaut",Ralf Butschkow,Carlsen Verlag GmbH,YBCS,"[5AC,4CA,YBL,YF,YNK,YNMH,YNNZ,YNTR]"
19,11989,Vampire Academy 06,Richelle Mead,LYX,FMR,"[5AQ,FMB,FMR,FMX,FRT]"
20,11117,Vampire Academy - Schattenträume,Richelle Mead,LYX,FMR,"[5AQ,FMR,FMX,FRD,FRT]"
21,73865,Wir spielen Kasperltheater,Peter Mitschitczek,Perlen-Reihe,ATDH,"[5AC,WDM,YBL,YND]"
22,15581,Der Herr der Ringe,J. R. R. Tolkien,Klett-Cotta Verlag,FMB,"[FYT,YFH]"
23,4892,Harry Potter 4 and the Goblet of Fire,Joanne K. Rowling,Bloomsbury UK,YFH,[5AK]
24,44815,Covet,Tracy Wolff,ENTANGLED PUB,YFHR,[]
25,63847,A Vow So Bold and Deadly,Brigid Kemmerer,Bloomsbury UK,YFHR,[YFM]
26,3106,Kiss Me Never (Crushed-Trust-Reihe 1),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]"
27,4283,Hold Me Tonight (Crushed-Trust-Reihe 2),Lana Rotaru,Carlsen Verlag GmbH,FRD,"[5AQ,5AX,5JA,5LKE,1KBB,FRM,YFM]"
28,63166,Fingerstempel-Spaß Kunterbunt,,Ars Edition GmbH,YBLD,"[5AD,YBG,YBLD]"
29,44220,Fingerstempel-Spaß Tiere,,Ars Edition GmbH,YBG,"[5AD,YBG,YBLD,YBLL]"
30,54393,Picklewitch & Jack and the Cuckoo Cousin,Claire Barker,Faber & Faber,YFH,"[5AF,YFQ,YFS]"
31,64544,Spiele-Klassiker Gummitwist-Set,Birgit Fuchs,moses. Verlag GmbH,YBL,[]
32,55796,Freundebuch - Handlettering - Meine Freunde,,Coppenrath F,YBG,"[5JA,WFU,YBG,YBL,YZS]"
33,6942,Mein Wisch-und-weg-Buch: Großbuchstaben,Jessica Greenwell,Usborne Verlag,YBG,"[5AF,YBL]"
34,23197,Nichts,Janne Teller,dtv Verlagsgesellschaft,YFS,"[5AQ,1DND,YFB,YFS]"
35,2417,A Court of Thorns and Roses. Acotar Adult Edition,Sarah J. Maas,Bloomsbury UK,YFH,[FMR]
36,57800,Das Schwert der Vorsehung,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FYB,FYT]"
37,11525,Zeit des Sturms,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FMB,FYT,3KLN]"
38,12143,The Testaments,Margaret Atwood,Random House LCC US,FDB,"[FB,FL]"
39,42285,Die Dunkelmagierin,Arthur Philipp,Blanvalet Taschenbuchverl,FMB,[]
40,41198,The Invisible Life of Addie LaRue,V. E. Schwab,Macmillan USA,FM,[]
41,43845,Small Gods,Terry Pratchett,Orion Publishing Group,FM,[]
42,62630,The Night Parade,Kathryn Tanquary,SOURCEBOOKS JABBERWOCKY,YFH,"[1F,YFJ]"
43,25330,"Viele Grüße, Deine Giraffe!",Megumi Iwasa,Moritz Verlag-GmbH,YBCS,[YF]
44,5368,Winter Stories,Enid Blyton,Hachette Children's  Book,YFA,"[5AH,5HPD,4CD,YFH,YFJ,YFU]"
45,46998,Goldene Flammen,Leigh Bardugo,Knaur Taschenbuch,FMB,"[FBA,FMB,FMR,FYT]"
46,2253,Eisige Wellen,Leigh Bardugo,Knaur Taschenbuch,FBA,"[FBA,FMB,FMR,FYT]"
47,52878,Gaspard de la Nuit,Aloysius Bertrand,Hollywood Comics,FM,[]
48,53706,Mats & Milad,Eva Rottmann,Jacoby & Stuart,YF,[YX]
49,26528,Ace of Shades,Amanda Foody,INKYARD PR,YFCF,[YFH]
50,7464,LEGO® NINJAGO® Das große Ninja-Lexikon,"Arie Kaplan, Hannah Dolan",Dorling Kindersley Verlag,YNVD,"[5AG,ATF,YBL,YNF,YNP,YNVD,YRG,YZG]"
51,30953,Brian Froud's Faeries' Tales,"Wendy Froud, Brian Froud",ABRAMS,FM,[FN]
52,72543,Black Dagger - Phury & Cormia,J. R. Ward,Heyne Taschenbuch,FMR,"[1KBB-US-NAK,FMX,FP,3MRBA]"
53,13855,Das große Bastelbuch für kreative Entdecker,Sven Nordqvist,Edel Kids Books,YBG,"[5AD,YB,YBG,YBL]"
54,65634,It Only Happens in the Movies,Holly Bourne,Usborne Publishing,YFB,"[5AQ,YFM]"
55,59843,Brothers of the Wind,Tad Williams,Hodder And Stoughton Ltd.,FMB,[]
56,71896,Der Triumph der Zwerge,Markus Heitz,Piper,FMB,[FMH]
57,56766,Die Spiderwick Geheimnisse 01 - Eine unglaubliche Entdeckung,"Holly Black, Tony DiTerlizzi",cbj,YFC,"[5AJ,YFC,YFH]"
58,75990,Die Spiderwick Geheimnisse 02 - Gefährliche Suche,"Holly Black, Tony DiTerlizzi",cbj,YFC,"[5AJ,YFC,YFH]"
59,66314,Die Chroniken von Narnia - Illustrierte Gesamtausgabe,"Clive Staples Lewis, C. S. Lewis",Ueberreuter Verlag,YFH,"[5AL,FM,YFH]"
60,6422,Die Chronik des Eisernen Druiden 08. Aufgespießt,Kevin Hearne,Klett-Cotta Verlag,FYT,"[FM,FYT]"
61,65865,Dangerous Boys - Wenn du mich findest,Catherine Doyle,cbt,YFCB,"[5AQ,1KBB-US-MLCC,YFM]"
62,12633,Dangerous Boys - Wenn wir uns verlieren,Catherine Doyle,cbt,YFCB,"[5AQ,1KBB-US-MLCC,YFM]"
63,1713,Kiss Me Twice - Kiss the Bodyguard 2,Stella Tack,Ravensburger Verlag,YFM,"[FR,FRD,YFB,YFM]"
64,69584,Dangerous Boys - Wenn ich dir vertraue,Catherine Doyle,cbt,YFM,"[5AQ,1KBB-US-MLCC,YFCB,YFM]"
65,63299,Endlich große Schwester,,dabelino,YBGC,"[WZG,YBGC,YZG]"
66,10666,Aus den Filmen zu Harry Potter: Eine magische Reise: Alles für deine Fahrt nach Hogwarts,"Insight Editions, Panini",Panini Verlags GmbH,FMM,"[5AK,ATF,WZS,YBL,YZS]"
67,62464,Trötsch Mein erstes Ausmalbuch,,Trötsch Verlag GmbH,YBL,[YB]
68,30497,Das Spiel der Götter 18,Steven Erikson,Blanvalet Taschenbuchverl,FMB,"[FBA,FMB,FYT]"
